Channel,Start_Date,Cumulative_Revenue
Email,"2023-01-05 00:00:00",60782
Email,"2023-01-08 00:00:00",183034
Email,"2023-02-21 00:00:00",247528
Email,"2023-02-23 00:00:00",314322
Email,"2023-03-05 00:00:00",477491
Email,"2023-03-14 00:00:00",516307
Email,"2023-03-16 00:00:00",650299
Email,"2023-03-16 00:00:00",650299
Email,"2023-04-04 00:00:00",750825
Email,"2023-04-07 00:00:00",896391
Email,"2023-04-11 00:00:00",1007253
Email,"2023-04-13 00:00:00",1105327
Email,"2023-04-15 00:00:00",1225336
Email,"2023-04-23 00:00:00",1331831
Email,"2023-04-26 00:00:00",1471974
Email,"2023-04-30 00:00:00",1523902
Email,"2023-05-04 00:00:00",1631386
Email,"2023-05-07 00:00:00",1784827
Email,"2023-05-13 00:00:00",1894384
Email,"2023-05-16 00:00:00",1973334
Email,"2023-05-17 00:00:00",2031297
Email,"2023-05-19 00:00:00",2167592
Email,"2023-05-19 00:00:00",2167592
Email,"2023-06-11 00:00:00",2206470
Email,"2023-06-15 00:00:00",2233956
Email,"2023-06-17 00:00:00",2340933
Email,"2023-06-21 00:00:00",2453240
Email,"2023-06-28 00:00:00",2504812
Email,"2023-07-04 00:00:00",2565608
Email,"2023-07-07 00:00:00",2636570
Email,"2023-07-14 00:00:00",2753663
Email,"2023-07-17 00:00:00",2992033
Email,"2023-07-17 00:00:00",2992033
Email,"2023-07-17 00:00:00",2992033
Email,"2023-07-19 00:00:00",3076109
Email,"2023-07-21 00:00:00",3167139
Email,"2023-07-25 00:00:00",3299164
Email,"2023-07-26 00:00:00",3419891
Email,"2023-08-07 00:00:00",3437144
Email,"2023-08-12 00:00:00",3509126
Email,"2023-08-15 00:00:00",3646665
Email,"2023-08-16 00:00:00",3777082
Email,"2023-08-22 00:00:00",4009350
Email,"2023-08-22 00:00:00",4009350
Email,"2023-08-26 00:00:00",4061678
Email,"2023-09-06 00:00:00",4109615
Email,"2023-09-14 00:00:00",4167093
Email,"2023-09-27 00:00:00",4259208
Email,"2023-10-12 00:00:00",4346362
Email,"2023-10-18 00:00:00",4439417
Email,"2023-10-26 00:00:00",4480428
Email,"2023-10-29 00:00:00",4521072
Email,"2023-11-05 00:00:00",4635846
Email,"2023-11-11 00:00:00",4693638
Email,"2023-11-21 00:00:00",4768433
Email,"2023-11-23 00:00:00",4841343
Email,"2023-11-24 00:00:00",4952400
Email,"2023-12-03 00:00:00",5119157
Email,"2023-12-03 00:00:00",5119157
Email,"2023-12-06 00:00:00",5193694
Email,"2023-12-07 00:00:00",5263691
Email,"2023-12-07 00:00:00",5263691
Email,"2023-12-12 00:00:00",5417950
Email,"2023-12-14 00:00:00",5510585
Email,"2023-12-14 00:00:00",5510585
Email,"2023-12-15 00:00:00",5556905
Email,"2023-12-20 00:00:00",5668962
Email,"2023-12-21 00:00:00",5768688
Email,"2023-12-28 00:00:00",5881937
Influencer,"2023-01-01 00:00:00",77088
Influencer,"2023-01-05 00:00:00",113337
Influencer,"2023-01-08 00:00:00",201131
Influencer,"2023-01-16 00:00:00",222313
Influencer,"2023-01-23 00:00:00",411141
Influencer,"2023-01-23 00:00:00",411141
Influencer,"2023-01-30 00:00:00",479330
Influencer,"2023-02-17 00:00:00",613656
Influencer,"2023-02-28 00:00:00",747859
Influencer,"2023-03-03 00:00:00",883810
Influencer,"2023-03-03 00:00:00",883810
Influencer,"2023-03-14 00:00:00",980392
Influencer,"2023-03-15 00:00:00",1099887
Influencer,"2023-03-25 00:00:00",1255548
Influencer,"2023-03-25 00:00:00",1255548
Influencer,"2023-03-31 00:00:00",1304814
Influencer,"2023-04-01 00:00:00",1390945
Influencer,"2023-04-03 00:00:00",1537505
Influencer,"2023-04-05 00:00:00",1682099
Influencer,"2023-04-05 00:00:00",1682099
Influencer,"2023-04-11 00:00:00",1765931
Influencer,"2023-04-13 00:00:00",1859941
Influencer,"2023-04-22 00:00:00",1966062
Influencer,"2023-04-23 00:00:00",2094342
Influencer,"2023-04-25 00:00:00",2112462
Influencer,"2023-05-09 00:00:00",2200946
Influencer,"2023-05-12 00:00:00",2261973
Influencer,"2023-05-14 00:00:00",2364730
Influencer,"2023-05-16 00:00:00",2390814
Influencer,"2023-05-18 00:00:00",2549415
Influencer,"2023-05-19 00:00:00",2676888
Influencer,"2023-06-01 00:00:00",2812023
Influencer,"2023-06-05 00:00:00",2871451
Influencer,"2023-06-08 00:00:00",2950637
Influencer,"2023-06-13 00:00:00",3046994
Influencer,"2023-06-18 00:00:00",3069506
Influencer,"2023-06-19 00:00:00",3127602
Influencer,"2023-06-20 00:00:00",3270553
Influencer,"2023-06-23 00:00:00",3374731
Influencer,"2023-06-28 00:00:00",3419242
Influencer,"2023-07-05 00:00:00",3529168
Influencer,"2023-07-08 00:00:00",3621449
Influencer,"2023-07-26 00:00:00",3737960
Influencer,"2023-07-27 00:00:00",3818165
Influencer,"2023-08-02 00:00:00",3925075
Influencer,"2023-08-09 00:00:00",4002991
Influencer,"2023-08-13 00:00:00",4083595
Influencer,"2023-08-14 00:00:00",4210505
Influencer,"2023-08-16 00:00:00",4393151
Influencer,"2023-08-16 00:00:00",4393151
Influencer,"2023-08-17 00:00:00",4498342
Influencer,"2023-08-18 00:00:00",4581008
Influencer,"2023-08-26 00:00:00",4647857
Influencer,"2023-09-01 00:00:00",4797816
Influencer,"2023-09-17 00:00:00",4891236
Influencer,"2023-09-26 00:00:00",4942150
Influencer,"2023-10-02 00:00:00",5142082
Influencer,"2023-10-02 00:00:00",5142082
Influencer,"2023-10-04 00:00:00",5218564
Influencer,"2023-10-09 00:00:00",5269061
Influencer,"2023-10-18 00:00:00",5399535
Influencer,"2023-10-20 00:00:00",5457594
Influencer,"2023-11-02 00:00:00",5555891
Influencer,"2023-11-10 00:00:00",5639904
Influencer,"2023-11-15 00:00:00",5689412
Influencer,"2023-11-20 00:00:00",5757546
Influencer,"2023-11-21 00:00:00",5870094
Influencer,"2023-11-23 00:00:00",6023373
Influencer,"2023-11-24 00:00:00",6102346
Influencer,"2023-11-26 00:00:00",6171607
Influencer,"2023-11-29 00:00:00",6254619
Influencer,"2023-12-05 00:00:00",6326731
Influencer,"2023-12-10 00:00:00",6478164
Influencer,"2023-12-10 00:00:00",6478164
Influencer,"2023-12-27 00:00:00",6584968
Partnership,"2023-01-21 00:00:00",142699
Partnership,"2023-01-27 00:00:00",272780
Partnership,"2023-02-05 00:00:00",285293
Partnership,"2023-02-21 00:00:00",356162
Partnership,"2023-02-24 00:00:00",468491
Partnership,"2023-04-02 00:00:00",600225
Partnership,"2023-04-11 00:00:00",673221
Partnership,"2023-04-17 00:00:00",779450
Partnership,"2023-04-19 00:00:00",819399
Partnership,"2023-05-06 00:00:00",966526
Partnership,"2023-05-09 00:00:00",1051123
Partnership,"2023-05-14 00:00:00",1075409
Partnership,"2023-05-20 00:00:00",1111964
Partnership,"2023-05-22 00:00:00",1156170
Partnership,"2023-05-29 00:00:00",1263548
Partnership,"2023-06-03 00:00:00",1337981
Partnership,"2023-06-04 00:00:00",1441314
Partnership,"2023-06-19 00:00:00",1538773
Partnership,"2023-07-02 00:00:00",1635376
Partnership,"2023-07-06 00:00:00",1790868
Partnership,"2023-07-15 00:00:00",1901195
Partnership,"2023-07-17 00:00:00",1952745
Partnership,"2023-07-18 00:00:00",2080998
Partnership,"2023-07-28 00:00:00",2197266
Partnership,"2023-07-31 00:00:00",2221947
Partnership,"2023-08-07 00:00:00",2277039
Partnership,"2023-08-10 00:00:00",2327792
Partnership,"2023-08-13 00:00:00",2403458
Partnership,"2023-08-15 00:00:00",2481406
Partnership,"2023-08-15 00:00:00",2481406
Partnership,"2023-08-15 00:00:00",2481406
Partnership,"2023-08-26 00:00:00",2584455
Partnership,"2023-08-27 00:00:00",2678454
Partnership,"2023-08-31 00:00:00",2688579
Partnership,"2023-09-14 00:00:00",2760243
Partnership,"2023-09-22 00:00:00",2849107
Partnership,"2023-09-23 00:00:00",2935090
Partnership,"2023-10-02 00:00:00",2999312
Partnership,"2023-10-08 00:00:00",3110675
Partnership,"2023-10-28 00:00:00",3201307
Partnership,"2023-11-11 00:00:00",3225829
Partnership,"2023-11-18 00:00:00",3245404
Partnership,"2023-11-19 00:00:00",3286687
Partnership,"2023-11-21 00:00:00",3400975
Partnership,"2023-11-22 00:00:00",3476221
Partnership,"2023-12-01 00:00:00",3594498
Partnership,"2023-12-02 00:00:00",3635629
Partnership,"2023-12-06 00:00:00",3732552
Partnership,"2023-12-14 00:00:00",3839163
Partnership,"2023-12-17 00:00:00",3951056
Partnership,"2023-12-27 00:00:00",4035903
"Search Ads","2023-01-04 00:00:00",104240
"Search Ads","2023-01-04 00:00:00",104240
"Search Ads","2023-01-06 00:00:00",199217
"Search Ads","2023-01-27 00:00:00",265671
"Search Ads","2023-02-08 00:00:00",338397
"Search Ads","2023-02-16 00:00:00",427734
"Search Ads","2023-03-12 00:00:00",493662
"Search Ads","2023-03-20 00:00:00",579286
"Search Ads","2023-04-16 00:00:00",712071
"Search Ads","2023-04-18 00:00:00",815346
"Search Ads","2023-04-20 00:00:00",897222
"Search Ads","2023-04-25 00:00:00",972785
"Search Ads","2023-04-26 00:00:00",991449
"Search Ads","2023-04-30 00:00:00",1109637
"Search Ads","2023-05-01 00:00:00",1156490
"Search Ads","2023-05-05 00:00:00",1299043
"Search Ads","2023-05-06 00:00:00",1389438
"Search Ads","2023-05-17 00:00:00",1498057
"Search Ads","2023-05-30 00:00:00",1523408
"Search Ads","2023-06-02 00:00:00",1620205
"Search Ads","2023-06-03 00:00:00",1732228
"Search Ads","2023-06-29 00:00:00",1860421
"Search Ads","2023-07-05 00:00:00",1986532
"Search Ads","2023-07-06 00:00:00",2113312
"Search Ads","2023-07-10 00:00:00",2201890
"Search Ads","2023-07-17 00:00:00",2303483
"Search Ads","2023-07-21 00:00:00",2463129
"Search Ads","2023-07-27 00:00:00",2572774
"Search Ads","2023-07-28 00:00:00",2610861
"Search Ads","2023-09-03 00:00:00",2646931
"Search Ads","2023-09-04 00:00:00",2824613
"Search Ads","2023-09-04 00:00:00",2824613
"Search Ads","2023-09-12 00:00:00",2893695
"Search Ads","2023-10-04 00:00:00",2965289
"Search Ads","2023-10-12 00:00:00",3109425
"Search Ads","2023-10-20 00:00:00",3214175
"Search Ads","2023-10-23 00:00:00",3317065
"Search Ads","2023-10-30 00:00:00",3356739
"Search Ads","2023-10-31 00:00:00",3446549
"Search Ads","2023-11-04 00:00:00",3519967
"Search Ads","2023-11-06 00:00:00",3656892
"Search Ads","2023-11-12 00:00:00",3719102
"Search Ads","2023-11-18 00:00:00",3763544
"Search Ads","2023-11-19 00:00:00",3878362
"Search Ads","2023-12-06 00:00:00",4004528
"Search Ads","2023-12-09 00:00:00",4123928
"Search Ads","2023-12-10 00:00:00",4254817
"Search Ads","2023-12-13 00:00:00",4294151
"Search Ads","2023-12-20 00:00:00",4335887
"Search Ads","2023-12-24 00:00:00",4477116
"Social Media","2023-01-05 00:00:00",58347
"Social Media","2023-01-07 00:00:00",139968
"Social Media","2023-01-14 00:00:00",250361
"Social Media","2023-01-18 00:00:00",362402
"Social Media","2023-01-22 00:00:00",479331
"Social Media","2023-01-23 00:00:00",514612
"Social Media","2023-01-25 00:00:00",669471
"Social Media","2023-01-31 00:00:00",761211
"Social Media","2023-02-02 00:00:00",880700
"Social Media","2023-02-08 00:00:00",998087
"Social Media","2023-02-13 00:00:00",1112008
"Social Media","2023-02-26 00:00:00",1198644
"Social Media","2023-03-01 00:00:00",1274680
"Social Media","2023-03-02 00:00:00",1359254
"Social Media","2023-03-07 00:00:00",1402945
"Social Media","2023-03-08 00:00:00",1418672
"Social Media","2023-03-16 00:00:00",1494186
"Social Media","2023-03-23 00:00:00",1537570
"Social Media","2023-03-24 00:00:00",1589351
"Social Media","2023-04-04 00:00:00",1663962
"Social Media","2023-04-05 00:00:00",1769104
"Social Media","2023-05-06 00:00:00",1798182
"Social Media","2023-05-15 00:00:00",1931658
"Social Media","2023-05-16 00:00:00",2002496
"Social Media","2023-05-29 00:00:00",2045312
"Social Media","2023-06-09 00:00:00",2070989
"Social Media","2023-06-14 00:00:00",2133152
"Social Media","2023-06-15 00:00:00",2255061
"Social Media","2023-06-16 00:00:00",2341067
"Social Media","2023-06-21 00:00:00",2401774
"Social Media","2023-06-23 00:00:00",2478525
"Social Media","2023-06-24 00:00:00",2530578
"Social Media","2023-07-02 00:00:00",2580961
"Social Media","2023-07-29 00:00:00",2750071
"Social Media","2023-07-29 00:00:00",2750071
"Social Media","2023-08-08 00:00:00",2940630
"Social Media","2023-08-08 00:00:00",2940630
