ID,Campaign_ID,Impressions,Clicks,Sign_Ups,Conversions,Channel,Start_Date,End_Date,Budget,Target_Audience,New_User_Revenue,Returning_User_Revenue,Total_Revenue
1,CAMP001,814161,106808,6529,25772,"Search Ads","2023-10-04 00:00:00","2023-05-27 00:00:00",4952,16037,9205,62389,71594
2,CAMP002,404581,18110,16734,14873,Email,"2023-11-21 00:00:00","2023-12-07 00:00:00",4115,19737,21917,52878,74795
3,CAMP003,466514,154185,9471,6384,Influencer,"2023-01-23 00:00:00","2023-06-29 00:00:00",2134,41115,57646,73488,131134
4,CAMP004,482608,159899,28491,6398,Influencer,"2023-08-16 00:00:00","2023-03-15 00:00:00",4525,25368,79808,34267,114075
5,CAMP005,94402,98910,8418,13250,Influencer,"2023-03-25 00:00:00","2023-07-12 00:00:00",5470,24991,59122,19355,78477
6,CAMP006,920662,131018,39084,130,"Social Media","2023-05-16 00:00:00","2023-06-17 00:00:00",3963,12820,21601,49237,70838
7,CAMP007,921974,52910,5295,2608,Influencer,"2023-03-03 00:00:00","2023-06-26 00:00:00",7895,42219,67859,33373,101232
8,CAMP008,459443,159232,3378,9400,Partnership,"2023-05-22 00:00:00","2024-01-04 00:00:00",9075,12021,29261,14945,44206
9,CAMP009,954117,136618,28298,21343,"Search Ads","2023-01-06 00:00:00","2023-09-14 00:00:00",9071,11932,63853,31124,94977
10,CAMP010,395508,75018,11631,15366,Email,"2023-09-14 00:00:00","2023-05-31 00:00:00",5378,17369,2268,55210,57478
11,CAMP011,552871,48403,3630,23084,Email,"2023-05-17 00:00:00","2023-09-08 00:00:00",9752,24372,22263,35700,57963
12,CAMP012,26371,78696,8125,9936,"Search Ads","2023-07-27 00:00:00","2023-03-03 00:00:00",3742,7086,59382,50263,109645
13,CAMP013,667530,114198,10006,12926,Partnership,"2023-05-20 00:00:00","2023-05-23 00:00:00",5704,28498,11709,24846,36555
14,CAMP014,978786,192798,7308,10157,"Social Media","2023-01-05 00:00:00","2023-12-19 00:00:00",5452,17837,25576,32771,58347
15,CAMP015,47990,69432,42282,4839,Email,"2023-12-15 00:00:00","2023-06-22 00:00:00",7743,38130,22795,23525,46320
16,CAMP016,878441,168302,6530,28115,"Social Media","2023-10-10 00:00:00","2023-01-28 00:00:00",6630,9648,23113,64862,87975
17,CAMP017,199166,102680,18170,652,"Social Media","2023-03-16 00:00:00","2023-05-14 00:00:00",3562,17059,20854,54660,75514
18,CAMP018,401247,94535,9439,5572,Email,"2023-11-05 00:00:00","2023-11-14 00:00:00",8434,18956,51950,62824,114774
19,CAMP019,668545,9413,20143,19640,"Social Media","2023-08-08 00:00:00","2024-01-25 00:00:00",4366,39227,58944,26170,85114
20,CAMP020,18347,76516,30087,8874,"Search Ads","2023-11-04 00:00:00","2023-10-31 00:00:00",8078,48685,45534,27884,73418
21,CAMP021,525925,81763,4664,5300,Influencer,"2023-08-16 00:00:00","2023-11-02 00:00:00",9804,44715,22507,46064,68571
22,CAMP022,700441,156410,19496,19660,Email,"2023-12-28 00:00:00","2023-05-11 00:00:00",5545,38310,67884,45365,113249
23,CAMP023,743299,69540,42659,6432,Influencer,"2023-10-02 00:00:00","2023-04-13 00:00:00",1571,12128,34893,68309,103202
24,CAMP024,732769,128893,4968,12619,Email,"2023-10-18 00:00:00","2023-05-20 00:00:00",4748,5239,57159,35896,93055
25,CAMP025,940187,119361,29461,27199,Partnership,"2023-02-21 00:00:00","2023-07-09 00:00:00",1901,19223,52099,18770,70869
26,CAMP026,818000,194732,37848,19213,Influencer,"2023-06-08 00:00:00","2024-01-14 00:00:00",3309,32018,5722,73464,79186
27,CAMP027,831495,134013,42241,19056,Email,"2023-11-11 00:00:00","2023-03-09 00:00:00",7182,12315,27601,30191,57792
28,CAMP028,769619,99273,15265,19563,"Social Media","2023-11-08 00:00:00","2023-05-06 00:00:00",7232,40661,42385,19267,61652
29,CAMP029,423177,59702,703,2391,Influencer,"2023-10-02 00:00:00","2023-03-21 00:00:00",6839,43887,41831,54899,96730
30,CAMP030,107469,128610,32467,21471,Influencer,"2023-12-10 00:00:00","2023-12-14 00:00:00",7514,11117,28025,54025,82050
31,CAMP031,231238,105964,23863,3527,Influencer,"2023-11-23 00:00:00","2024-01-25 00:00:00",8300,47898,83282,69997,153279
32,CAMP032,158772,1688,39102,157,Email,"2023-02-23 00:00:00","2023-03-30 00:00:00",4096,45391,24208,42586,66794
33,CAMP033,401636,107280,44670,8746,"Social Media","2023-11-01 00:00:00","2023-06-11 00:00:00",4458,17448,8661,63742,72403
34,CAMP034,365454,55272,38934,4983,"Social Media","2023-04-05 00:00:00","2023-10-03 00:00:00",9019,8436,92082,13060,105142
35,CAMP035,804643,15924,10563,5163,"Social Media","2023-03-01 00:00:00","2023-10-06 00:00:00",4971,28847,7950,68086,76036
36,CAMP036,895743,111984,20418,26467,Email,"2023-12-03 00:00:00","2023-05-27 00:00:00",4661,36604,49682,50353,100035
37,CAMP037,488917,161409,42869,5195,Partnership,"2023-06-04 00:00:00","2023-03-05 00:00:00",2291,38135,47363,55970,103333
38,CAMP038,637412,32479,8092,16702,"Search Ads","2023-05-05 00:00:00","2023-04-02 00:00:00",9589,41980,87671,54882,142553
39,CAMP039,786829,59382,15447,15974,Influencer,"2023-06-13 00:00:00","2023-11-05 00:00:00",3532,19314,81626,14731,96357
40,CAMP040,353742,68505,31623,19320,Influencer,"2023-02-28 00:00:00","2023-05-12 00:00:00",3129,18236,64394,69809,134203
41,CAMP041,304084,89531,8493,9007,Partnership,"2023-04-17 00:00:00","2023-03-05 00:00:00",2711,27746,50898,55331,106229
42,CAMP042,64441,106059,12179,123,"Search Ads","2023-07-21 00:00:00","2023-05-05 00:00:00",6802,17264,98895,60751,159646
43,CAMP043,518112,166098,2196,11196,Partnership,"2023-10-28 00:00:00","2023-07-14 00:00:00",9058,12392,39956,50676,90632
44,CAMP044,946592,168389,19499,6778,Email,"2023-09-27 00:00:00","2023-03-06 00:00:00",3489,40422,91452,663,92115
45,CAMP045,896969,59383,23257,4620,Email,"2023-11-23 00:00:00","2023-03-28 00:00:00",2169,25111,1564,71346,72910
46,CAMP046,484757,148067,27303,21698,"Search Ads","2023-02-08 00:00:00","2023-12-28 00:00:00",5057,10239,66227,6499,72726
47,CAMP047,429936,67815,24363,1425,Email,"2023-06-17 00:00:00","2023-10-28 00:00:00",7613,22975,70713,36264,106977
48,CAMP048,765990,70726,35234,8080,"Search Ads","2023-05-17 00:00:00","2023-01-19 00:00:00",1183,18666,91757,16862,108619
49,CAMP049,301971,51633,15404,4912,"Social Media","2023-01-14 00:00:00","2023-03-31 00:00:00",5207,16675,67247,43146,110393
50,CAMP050,945304,199646,3177,3351,"Search Ads","2023-07-28 00:00:00","2023-04-10 00:00:00",6346,11445,1106,36981,38087
51,CAMP051,195150,193990,40645,2392,"Social Media","2023-01-23 00:00:00","2023-12-03 00:00:00",3827,18649,34522,759,35281
52,CAMP052,626284,78352,155,17634,Partnership,"2023-12-02 00:00:00","2024-01-26 00:00:00",7241,8799,35395,5736,41131
53,CAMP053,273337,166167,7744,18158,Partnership,"2023-09-22 00:00:00","2023-02-05 00:00:00",3286,5432,30856,58008,88864
54,CAMP054,314970,45326,30226,16952,Email,"2023-08-16 00:00:00","2023-08-12 00:00:00",6131,48870,74195,56222,130417
55,CAMP055,67446,137051,2186,27682,"Social Media","2023-09-20 00:00:00","2023-02-27 00:00:00",8137,26893,34705,46600,81305
56,CAMP056,150892,137246,12949,13304,"Social Media","2023-07-29 00:00:00","2023-02-13 00:00:00",6217,29953,12474,71389,83863
57,CAMP057,58223,192802,2412,17065,"Social Media","2023-03-02 00:00:00","2023-12-25 00:00:00",6471,34409,38277,46297,84574
58,CAMP058,126844,94905,32478,25139,"Social Media","2023-02-26 00:00:00","2023-07-15 00:00:00",3349,18282,33653,52983,86636
59,CAMP059,993947,121872,25893,14753,Influencer,"2023-08-26 00:00:00","2023-11-16 00:00:00",3822,32892,37850,28999,66849
60,CAMP060,391858,58015,38310,9457,Influencer,"2023-06-01 00:00:00","2023-04-28 00:00:00",3598,23500,72020,63115,135135
61,CAMP061,124779,75335,21793,27891,Partnership,"2023-10-08 00:00:00","2023-10-08 00:00:00",5147,36445,93809,17554,111363
62,CAMP062,912961,184882,15727,26287,Influencer,"2023-01-05 00:00:00","2023-10-01 00:00:00",9087,32080,21534,14715,36249
63,CAMP063,579927,97598,3566,17735,Email,"2023-04-11 00:00:00","2024-01-23 00:00:00",5867,10884,61296,49566,110862
64,CAMP064,660086,44734,36984,864,Influencer,"2023-11-02 00:00:00","2024-01-15 00:00:00",2882,5370,57345,40952,98297
65,CAMP065,352903,187517,42184,10034,"Search Ads","2023-12-10 00:00:00","2023-09-06 00:00:00",8802,44841,93321,37568,130889
66,CAMP066,238410,70871,38770,12040,"Social Media","2023-01-31 00:00:00","2023-12-27 00:00:00",6533,18686,75257,16483,91740
67,CAMP067,138005,19796,3804,19670,Partnership,"2023-02-24 00:00:00","2024-01-31 00:00:00",1645,45419,46553,65776,112329
68,CAMP068,174937,121363,152,11980,"Search Ads","2023-06-03 00:00:00","2024-01-24 00:00:00",6497,26603,61944,50079,112023
69,CAMP069,61032,78055,41515,18118,Influencer,"2023-10-04 00:00:00","2023-04-26 00:00:00",5039,45921,47641,28841,76482
70,CAMP070,307704,90506,16129,12678,"Search Ads","2023-12-20 00:00:00","2023-04-16 00:00:00",7927,19273,4134,37602,41736
71,CAMP071,199665,96591,19826,7449,"Search Ads","2023-12-24 00:00:00","2023-03-25 00:00:00",7990,32137,79663,61566,141229
72,CAMP072,988747,122377,9942,5716,"Search Ads","2023-07-05 00:00:00","2023-05-01 00:00:00",7324,42063,90040,36071,126111
73,CAMP073,489950,192725,17234,11168,Influencer,"2023-01-30 00:00:00","2023-01-26 00:00:00",6479,16929,43070,25119,68189
74,CAMP074,450301,135473,919,27759,"Search Ads","2023-11-06 00:00:00","2023-01-28 00:00:00",7407,47084,77283,59642,136925
75,CAMP075,709919,163808,7300,18384,"Search Ads","2023-04-30 00:00:00","2023-04-30 00:00:00",1761,24021,84209,33979,118188
76,CAMP076,871188,102685,25083,27341,"Search Ads","2023-12-09 00:00:00","2023-08-29 00:00:00",4997,45556,71284,48116,119400
77,CAMP077,859814,97127,22365,19222,Email,"2023-01-08 00:00:00","2023-07-02 00:00:00",5791,41018,96613,25639,122252
78,CAMP078,929220,87391,4970,1659,"Search Ads","2023-04-16 00:00:00","2024-01-29 00:00:00",1625,6435,67933,64852,132785
79,CAMP079,450386,191319,29861,11642,Influencer,"2023-05-18 00:00:00","2023-11-01 00:00:00",9587,9192,93566,65035,158601
80,CAMP080,882263,130717,1199,22118,Partnership,"2023-07-02 00:00:00","2023-04-25 00:00:00",6837,8859,32928,63675,96603
81,CAMP081,672893,92910,2656,16006,Email,"2023-12-06 00:00:00","2023-08-21 00:00:00",4383,27882,28181,46356,74537
82,CAMP082,299096,8331,5930,17353,"Social Media","2023-07-29 00:00:00","2023-11-18 00:00:00",3555,22709,68361,16886,85247
83,CAMP083,898069,155377,43916,29040,"Social Media","2023-05-29 00:00:00","2023-12-26 00:00:00",5600,13292,18086,24730,42816
84,CAMP084,526647,199900,46064,28770,Influencer,"2023-09-17 00:00:00","2023-08-14 00:00:00",6305,25816,24044,69376,93420
85,CAMP085,18527,197387,21511,26649,Email,"2023-05-07 00:00:00","2023-10-19 00:00:00",7758,11720,85805,67636,153441
86,CAMP086,382559,144688,24738,9565,Email,"2023-10-26 00:00:00","2023-08-26 00:00:00",8762,5372,5733,35278,41011
87,CAMP087,628281,66851,34345,8156,"Social Media","2023-03-07 00:00:00","2023-06-21 00:00:00",4308,8168,38964,4727,43691
88,CAMP088,910057,174211,542,703,Partnership,"2023-01-21 00:00:00","2023-03-29 00:00:00",1165,22890,99985,42714,142699
89,CAMP089,633254,63000,21168,554,"Search Ads","2023-10-20 00:00:00","2023-10-17 00:00:00",2415,34547,44404,60346,104750
90,CAMP090,680169,72117,43492,417,Partnership,"2023-11-21 00:00:00","2023-02-24 00:00:00",2821,36109,58088,56200,114288
91,CAMP091,817827,76249,33893,9259,Email,"2023-04-23 00:00:00","2023-09-07 00:00:00",1523,17629,68305,38190,106495
92,CAMP092,837198,17694,14136,25403,Influencer,"2023-05-19 00:00:00","2023-05-19 00:00:00",8228,11424,57673,69800,127473
93,CAMP093,150061,155890,17201,19661,Partnership,"2023-08-26 00:00:00","2023-10-27 00:00:00",9295,46986,33371,69678,103049
94,CAMP094,249369,99316,9918,1047,Partnership,"2023-12-27 00:00:00","2023-06-17 00:00:00",1699,28037,62249,22598,84847
95,CAMP095,938637,164295,46292,6008,Email,"2023-12-14 00:00:00","2023-06-11 00:00:00",7273,41295,13486,11053,24539
96,CAMP096,163699,5329,31951,13787,"Social Media","2023-02-13 00:00:00","2023-07-30 00:00:00",1448,40019,64610,49311,113921
97,CAMP097,959786,167479,46329,13399,Email,"2023-03-05 00:00:00","2023-07-07 00:00:00",9146,38011,89475,73694,163169
98,CAMP098,545399,70419,37964,12344,Partnership,"2023-09-23 00:00:00","2023-08-15 00:00:00",4467,37540,57614,28369,85983
99,CAMP099,564239,3345,18381,28012,Partnership,"2023-04-02 00:00:00","2023-11-13 00:00:00",7517,18151,85075,46659,131734
100,CAMP100,374242,72196,16510,21127,Influencer,"2023-04-22 00:00:00","2023-11-22 00:00:00",4087,9161,65596,40525,106121
101,CAMP101,279896,27063,30207,5173,Partnership,"2023-12-06 00:00:00","2023-01-16 00:00:00",1131,7512,79546,17377,96923
102,CAMP102,354319,162574,32847,14461,Influencer,"2023-11-29 00:00:00","2023-06-03 00:00:00",1213,49430,71259,11753,83012
